fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-30 20:28:52,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Las Condes,Vital Apoquindo,-33.420059,-70.529632
2025-04-30 20:26:37,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Las Vertientes,Camino al Volcán,-33.586554,-70.468943
2025-04-30 20:28:39,Policía,POLICE_HIDING,Otro,El Monte,Av. Los Libertadores,-33.683046,-70.99244
2025-04-30 20:24:49,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Talagante,Esmeralda,-33.667312,-70.93379
2025-04-30 20:25:04,Conversación,,Otro,Talagante,Esmeralda,-33.667312,-70.93379
2025-04-30 20:24:54,Tráfico,,Otro,"Malloco, Peñaflor",Av. Balmaceda,-33.614118,-70.860741
2025-04-30 20:24:04,Tráfico,,Otro,"Malloco, Peñaflor",Altos de Lircay,-33.602322,-70.853825
2025-04-30 20:27:39,Policía,,Otro,Calera de Tango,El Carmen,-33.628616,-70.772309
2025-04-30 20:26:33,Policía,,Otro,Calera de Tango,El Carmen,-33.630555,-70.765536
2025-04-30 20:28:41,Policía,,Otro,San Bernardo,Óscar Viel Balmaceda,-33.620048,-70.681684
2025-04-30 20:24:01,Policía,,Otro,Puente Alto,Av. Sargento Menadier,-33.620121,-70.60425
2025-04-30 20:28:02,Tráfico,,Otro,Rancagua,Av. Libertador Bernardo O'Higgins,-34.162851,-70.753565
2025-04-30 20:24:32,Tráfico,,Otro,Rancagua,Millán,-34.174317,-70.745619
2025-04-30 20:23:27,Policía,,Otro,Rancagua,Pasaje Teodoro Schmidt,-34.183968,-70.765876
2025-04-30 20:23:11,Policía,,Otro,Rancagua,Almarza,-34.16627,-70.737184
2025-04-30 20:29:00,Policía,,Otro,Graneros,Av. La Compañía,-34.06706,-70.726802
2025-04-30 20:24:24,Accidente,,Otro,Machalí,Av. San Juan,-34.172071,-70.684979
2025-04-30 20:24:55,Policía,,Otro,Machalí,Av. San Juan,-34.173262,-70.687836
2025-04-28 03:36:13,Policía,,Otro,Maipú,El Rosal,-33.485092,-70.76661
2025-04-28 03:32:23,Peligro,HAZARD_ON_ROAD_CONSTRUCTION,Otro,Lo Prado,San Pablo,-33.444535,-70.726701
2025-04-28 03:36:28,Policía,,Otro,Estación Central,Av. Víctor Jara,-33.450888,-70.67971
